,Name,Distance,Mass,Radius
125,2MASS J03205965+1854233,47.0,9.043144,0.0010977762
126,2MASS J03231002-4631237,192.0,2.363549,0.00158461608
127,SDSS J032553.17+042540.1,59.0,4.624334999999999,0.0009068586
128,2MASS J03264225-2102057 [de],80.0,1.8497339999999998,0.0012409644000000001
129,2MASS J03284265+2302051 [de],98.0,5.549201999999999,0.00093549624
130,2MASS J03341218-4953322,27.0,7.5016989999999995,0.00099277152
131,LP 944-20,20.9,7.5016989999999995,0.00136506084
132,2MASP J0345432+254023,88.0,7.604462,0.0010023174
133,Teide 1,380.0,5.651965,0.00360834264
134,2MASS J03510004-0052452,48.0,10.481826,0.0012123267600000001
135,2MASS J03552337+1133437,29.8,2.0552599999999996,0.00126005616
136,2MASS J04151954−0935066,18.6,3.08289,0.0009068586
137,2MASS J04285096-2253227 [de],85.0,8.221039999999999,0.0010405009200000002
138,2MASS J04351612-1606574,34.0,10.276299999999999,0.00120278088
139,2MASS J04362788-4114465,142.0,4.007757,0.00188053836
140,2MASS J04390101-2353083 [de],29.5,4.932624,0.00092595036
141,2MASS J04433764+0002040,82.0,2.260786,0.00169916664
142,2MASS J04455387-3048204 [de],42.0,6.576832,0.000954588
143,2MASS J04510093-3402150 [de],69.0,7.398935999999999,0.00099277152
144,2MASS J05002100+0330501 [de],44.0,6.576832,0.000954588
145,2MASS J05012406-0010452 [de],64.0,2.158023,0.00131733144
146,2MASS J05160945-0445499 [de],73.0,4.829860999999999,0.00092595036
147,2MASS J0523−1403,40.0,6.987883999999999,0.00096413388
148,SDSS J053951.99-005902.0,41.62,6.268542999999999,0.00096413388
149,LSR 0602+3910 [de],34.6,2.877364,0.00134596908
150,2MASS J06085283-2753583,102.0,3.904994,0.00144142788
151,2MASS J06244595-4521548 [de],39.0,5.754728,0.0009450421200000001
152,2MASS J06411840-4322329 [de],65.0,6.885121,0.00096413388
153,DENIS-P J0652197-253450 [de],51.0,7.707224999999999,0.0010023174
154,2MASS J07075327-4900503,60.0,7.398935999999999,0.0009832256400000002
155,UGPS J072227.51-054031.2,13.4,2.6718379999999997,0.00093549624
156,2MASSI J0727182+171001 [de],29.6,4.213283,0.00089731272
157,2MASS J07290002-3954043 [de],25.8,3.802231,0.00089731272
158,SDSS J074201.41+205520.5 [de],49.0,4.4188089999999995,0.00089731272
159,DENIS-P J0751164-253043 [de],55.0,7.296173,0.0009832256400000002
160,2MASS J07522390+1612157,60.0,6.987883999999999,0.00191872188
161,DENIS J081730.0-615520,16.1,4.521572,0.00089731272
162,2MASS J08251968+2115521 [de],35.0,5.343675999999999,0.00093549624
163,SDSSp J083008.12+482847.4 [de],43.0,4.932624,0.0009450421200000001
164,LHS 2021,55.0,9.043144,0.0010977762
165,SDSS J083048.80+012831.1 [de],77.0,4.727098,0.00091640448
166,2MASSI J0835425-081923 [de],23.53,6.371306,0.000954588
167,2MASSI J0847287-153237 [de],43.0,6.576832,0.000954588
168,2MASS J08533619-0329321,27.6,7.912750999999999,0.00102140916
169,2MASSI J0859254-194926 [de],50.0,5.1381499999999996,0.00093549624
170,2MASSI J0937347+293142,20.0,4.316046,0.00089731272
171,2MASS 0939−2448,17.4,3.288416,0.0009068586
172,2MASS J09490860-1545485 [de],59.0,5.035387,0.00091640448
173,2MASS J10073369-4555147,46.0,4.521572,0.00089731272
174,2MASSI J1010148-040649 [de],55.0,5.240913,0.00093549624
175,2MASS J10224821+5825453 [de],60.0,2.7746009999999997,0.00134596908
176,2MASSW J1036530-344138 [de],53.0,5.035387,0.00092595036
177,2MASS J1047538+212423 [de],34.4,4.316046,0.00089731272
178,Luhman 16B,6.516,4.4188089999999995,0.0009736797600000001
179,Luhman 16A,6.516,4.110519999999999,0.00096413388
180,DENIS-P J1058.7−1548,49.0,6.576832,0.000954588
181,TWA 28,180.0,3.6994679999999995,0.0022814653200000003
182,Cha 110913-773444,163.0,0.822104,0.0017182584
183,SDSS J111010.01+011613.1,63.0,0.9248669999999999,0.00118368912
184,2MASS J11145133−2618235,18.2,3.3911789999999997,0.00091640448
185,TWA 26,137.0,3.08289,0.0021000936
186,2MASS J11544223-3400390 [de],129.0,3.802231,0.001431882
187,2MASSW J1155395-372735 [de],31.0,6.576832,0.000954588
188,2MASS J12074836-3900043,217.0,1.7469709999999998,0.00163234548
189,2MASSI J1217110-031113 [de],36.0,4.316046,0.00089731272
190,2M 1237+6526,45.6,4.213283,0.00089731272
191,TWA 29,262.0,2.5690749999999998,0.001909176
192,SDSSp J125453.90-012247.4 [de],38.0,4.829860999999999,0.00093549624
193,Kelu-1A,61.0,6.474068999999999,0.00093549624
194,Kelu-1B,61.0,5.960254,0.00093549624
195,2MASS J13204427+0409045,101.0,6.885121,0.00096413388
196,SDSSp J132629.82-003831.5 [de],65.0,5.240913,0.00092595036
197,SDSSp J134646.45-003150.4 [de],48.0,4.521572,0.00089731272
198,2MASS J13595510-4034582,51.0,6.474068999999999,0.000954588
199,ULAS J141623.94+134836.3,29.7,3.288416,0.00091640448
200,SDSS J141659.78+500626.4 [de],149.0,6.063016999999999,0.0009450421200000001
201,DENIS-P J142527.97-365023.4 [de],38.0,2.158023,0.00126005616
202,LHS 2924,38.5,7.809988,0.0010118632800000002
203,2MASS J14392837+1929150,47.0,7.398935999999999,0.0009832256400000002
204,LSPM J1440+1339,72.0,9.454196,0.00113595972
205,2MASS J14482563+1031590 [de],47.0,6.063016999999999,0.0009450421200000001
206,CFBDSIR 1458+10A,104.0,1.1406692999999999,0.001431882
207,CFBDSIR 1458+10B,104.0,0.9248669999999999,0.0012409644000000001
208,TVLM 513-46546,35.1,7.707224999999999,0.0010023174
209,2MASS 1503+2525,20.7,4.521572,0.00089731272
210,CFBDS J150411+102717,71.0,4.521572,0.00089731272
211,2MASSW J1506544+132106 [de],46.0,7.090647,0.0009736797600000001
212,2MASS 1507−1627,23.9,6.16578,0.0009450421200000001
213,TVLM 868-110639,53.0,8.118276999999999,0.0010309550400000001
214,2MASSW J1515008+484742 [de],34.0,5.857491,0.0009450421200000001
215,2MASSI J1526140+204341 [de],67.0,5.549201999999999,0.00093549624
216,DENIS-P J153941.96-052042.4 [de],51.0,6.474068999999999,0.000954588
217,2MASS J15462718-3325111 [de],37.0,4.521572,0.00089731272
218,2MASSW J1552591+294849 [de],68.0,3.08289,0.00136506084
219,2MASSW J1555157-095605 [de],44.0,7.296173,0.0009832256400000002
220,2MASS J16150413+1340079 [de],48.0,4.316046,0.00089731272
221,SDSSp J162414.37+002915.6 [de],36.0,4.4188089999999995,0.00089731272
222,2MASS J16262034+3925190 [de],110.0,7.296173,0.0009832256400000002
223,2MASSW J1632291+190441 [de],50.0,5.035387,0.00092595036
224,WISEPA J164715.59+563208.2,28.0,4.213283,0.00089731272
225,LSPM J1658+7027 [de],60.0,7.5016989999999995,0.00099277152
226,2MASSI J1726000+153819,114.0,2.466312,0.0013364232
227,SDSSp J175032.96+175903.9,90.0,4.829860999999999,0.00092595036
228,2MASS J18283572-4849046,39.0,4.624334999999999,0.0009068586
229,LSR J1835+3259,18.5,7.912750999999999,0.00102140916
230,2MASSW J1841086+311727,138.0,6.885121,0.00096413388
231,2MASS J18432213+4040209,46.0,9.865248,0.00116459736
232,2MASS J20004841-7523070,105.0,2.5690749999999998,0.00179462544
233,SDSS J204749.61-071818.3,65.0,4.727098,0.00091640448
234,2MASSI J2057540-025230,47.0,7.193409999999999,0.0009736797600000001
235,2MASSI J2104149-103736,62.0,7.090647,0.0009736797600000001
236,PSO J318.5−22,80.0,0.6679594999999999,0.00146051964
237,HB 2124-4228,113.0,9.659721999999999,0.00115505148
238,2MASS J21392676+0220226,32.1,4.727098,0.00091640448
239,2MASS J21481628+4003593,26.3,5.651965,0.0009450421200000001
240,2MASSW J2206450-421721,93.0,2.260786,0.0012696020400000002
241,2MASSW J2208136+292121,154.0,2.7746009999999997,0.00134596908
242,2MASSW J2224438-015852,38.0,6.268542999999999,0.0009450421200000001
243,2MASS J22282889-4310262,35.0,4.316046,0.00089731272
244,2MASS J22373255+3922398,64.0,7.5016989999999995,0.00099277152
245,2MASSW J2244316+204343,56.0,1.233156,0.00123141852
246,2MASS J23224684-3133231,56.0,2.466312,0.00132687732
247,2MASS J23225299-6151275,148.0,1.7469709999999998,0.00151779492
248,2MASS J23515044-2537367,67.0,9.043144,0.0011073220799999999
249,2MASSI J2356547-155310,74.0,8.221039999999999,0.0010405009200000002
250,WISE 0410+1502,20.0,0.616578,0.00111686796
251,WISE 0458+6434A,35.9,1.541445,0.0040092696
252,WISE 0458+6434B,35.9,1.0276299999999998,0.0036274344
253,WISE 1405+5534,25.3,3.08289,0.00082094568
